Name,Direct Link,Hashtags,Description,Pricing model,Coupon,Has Coupon,Has Free Trial,Realated Videos
BLUF,https://bluf.ai,Productivity,"BLUF is an AI-powered web page assistant that provides concise answers, summaries, and explanations of web pages. It is available on Chrome and Firefox and collects usage data to complete prompts. It also sends the contents of prompts to OpenAI, which does not keep data for longer than 30 days.",Freemium,,FALSE,FALSE,
AI Suggests,https://ai-suggests.com,Productivity,"AI Suggests is a state-of-the-art tool that uses artificial intelligence to help content creators quickly and easily generate fresh and unique content. It offers 20+ templates, GPT-3 model support, and the ability to save important documents. It also provides social media tips and tricks, SEO-friendly headlines, titles, meta descriptions and keywords, and effortless marketing campaigns and ads copy. AI Suggests is free to use and does not require a subscription. Credits can be purchased to unlock more templates.",Paid,,FALSE,TRUE,
Chatpad AI,https://chatpad.ai,Productivity,"Chatpad AI is a free and open source chat user-interface that focuses on privacy and providing the best user experience possible. It allows users to download a desktop app, as well as manage their data, such as exporting and importing data, as well as deleting data.",Free,,FALSE,FALSE,
ChatGPT Personality Selector,https://chrome.google.com/webstore/detail/chatgpt-personality-selec/jdmpccdlifdkhniemenfmieffkdblahk,Prompt Guides,"The ChatGPT Personality Selector is a Google Chrome extension that allows users to customize their chatbot experience by selecting from an extensive list of personalities. The extension also offers special personalities such as the NetEnabled ChatGPT, which can connect to the internet and perform searches to provide users with up-to-date information. Additionally, the extension offers keyword interception control and the chatgpt_extensions tool, which allows users to condition the chatbot for specific applications and tasks. The full source code of the ChatGPT Personality Selector is open source under the MIT license.",Free,,FALSE,FALSE,https://cdn.embedly.com/widgets/media.html?src=https%3A%2F%2Fwww.youtube.com%2Fembed%2FWyQ3ctbtY8E%3Ffeature%3Doembed&display_name=YouTube&url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DWyQ3ctbtY8E&image=https%3A%2F%2Fi.ytimg.com%2Fvi%2FWyQ3ctbtY8E%2Fhqdefault.jpg&key=96f1f04c5f4143bcb0f2e68c87d65feb&type=text%2Fhtml&schema=youtube
eCold.ai,https://ecold.ai,Marketing,eCold.ai is an AI powered tool for automating cold email personalization. It allows users to quickly generate 100s of personalized lines in seconds and integrates with the most popular cold email tools. It is 6X cheaper than hiring a VA and provides increased reply rates.,Paid,,FALSE,TRUE,
Qlip.ai,https://www.qlip.ai,Social Media,"Qlip is an AI-powered video highlights generator that helps content creators repurpose long-form videos into shorter, more shareable clips for social media. It features a machine learning model that automatically recommends highlights, a templated video generator, and options to post clips on social media, embed them on websites, or link them on emails and SMS. Qlip offers plans with varying amounts of storage space and upload time, with the first hour of upload being free.",Paid,,FALSE,TRUE,
Upword,https://www.upword.ai,Productivity,"Upword is a productivity tool that uses AI to help users quickly and easily scan content and extract key ideas. It allows users to create online summary documents, and add comments, links, images, and more. It also features an AI-generated notes tool, auto-highlighting, audio player, sharing and collaboration capabilities, and unlimited storage. Users can also listen to their summaries on the go, and organize content summaries in their lifelong library. It is available for a 7-day free trial, with a monthly subscription fee after that. Special student pricing is also available.",Paid,,FALSE,TRUE,
Scrip AI,https://scripai.com,Social Media,Scrip AI tool provides a 10X faster way to write short video scripts for Instagram. It allows users to create scripts for videos that are 30-60 seconds in length in only 1 minute. It is free to use and does not require a credit card or login.,Free,,FALSE,FALSE,
Ariana AI,https://www.timworks.com/ariana,Chat,"Ariana AI is a tool designed to help users with their day-to-day tasks. It is available as a WhatsApp chatbot, where users can ask Ariana questions or to come up with ideas and get an immediate answer. Ariana also offers support for students, parents, work, freelancers, and creatives. The service is offered with a monthly or yearly subscription, with a free trial available and no credit card required. Users can also contact Timworks for further help.",Freemium,,FALSE,FALSE,
MovieBot,https://www.moviebot.io,Avatar,"MovieBot is a tool that allows users to create 3D animated videos using AI technology. The tool provides users with customizable 3D worlds, characters, backgrounds, cameras, and stories to create their own animated videos.",Free,,FALSE,FALSE,
ModelScope Text-To-Video,https://huggingface.co/spaces/damo-vilab/modelscope-text-to-video-synthesis,Generative Video,"Modelscope Text to Video Synthesis is a tool that allows users to create videos from text using natural language processing and machine learning. It can be used to generate videos from text-based scripts, making it easier to create videos without the need for manual editing. (Hugging Face)",Open Source,,FALSE,FALSE,https://cdn.embedly.com/widgets/media.html?src=https%3A%2F%2Fwww.youtube.com%2Fembed%2FrBxvEgibwMw%3Ffeature%3Doembed&display_name=YouTube&url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DrBxvEgibwMw&image=https%3A%2F%2Fi.ytimg.com%2Fvi%2FrBxvEgibwMw%2Fhqdefault.jpg&key=96f1f04c5f4143bcb0f2e68c87d65feb&type=text%2Fhtml&schema=youtube
Face Landmark ControlNet,https://huggingface.co/spaces/georgefen/Face-Landmark-ControlNet,Generative Art,Upload a face image and it will make new faces with similar poses (Hugging Face),Open Source,,FALSE,FALSE,https://cdn.embedly.com/widgets/media.html?src=https%3A%2F%2Fwww.youtube.com%2Fembed%2FtEsL9KVb5Eg%3Ffeature%3Doembed&display_name=YouTube&url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DtEsL9KVb5Eg&image=https%3A%2F%2Fi.ytimg.com%2Fvi%2FtEsL9KVb5Eg%2Fhqdefault.jpg&key=96f1f04c5f4143bcb0f2e68c87d65feb&type=text%2Fhtml&schema=youtube
Stable Diffusion Reimagine,https://clipdrop.co/stable-diffusion-reimagine,Generative Art,"Stable Diffusion Reimagine is a new algorithm created by stability.ai that creates images variation from an image. You just need to upload an image, and Stable Diffusion reimagine will automatically create three variations for you.",Free,,FALSE,FALSE,https://cdn.embedly.com/widgets/media.html?src=https%3A%2F%2Fwww.youtube.com%2Fembed%2FtEsL9KVb5Eg%3Ffeature%3Doembed&display_name=YouTube&url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DtEsL9KVb5Eg&image=https%3A%2F%2Fi.ytimg.com%2Fvi%2FtEsL9KVb5Eg%2Fhqdefault.jpg&key=96f1f04c5f4143bcb0f2e68c87d65feb&type=text%2Fhtml&schema=youtube
Fusion,https://fusion.tiiny.site/home.html,Prompt Guides,"Fusion tool generates prompts for users based on factors such as clarity, creativity, relevance, and inclusiveness. It draws from external resources such as tweets, articles, and reports to provide tips and insights on writing effective prompts. The generated prompts can be saved to clipboard for easy access and use.",Free,,FALSE,FALSE,
Keyword Camera,https://keyword.camera,Marketing,"KeywordCamera tool helps you quickly and accurately generate titles, descriptions, and keywords for images using AI. It exports the results to CSV and is compatible with major platforms. You can customize upload settings, edit details, and export batch images. It includes options to add required keywords and regenerate content if the results are not accurate. The tool is free to use and includes 100 credits.",Paid,,FALSE,TRUE,
Baked,https://www.baked-ai.com,For Fun,"Baked is a tool that uses AI to generate unique images based on user input. Customers can purchase products such as mugs, phone cases, and t-shirts with the generated artwork. All orders are final and cannot be cancelled or refunded. Baked only ships within the US. Customers can reach out to support@baked-ai.com with any questions.",Paid,,FALSE,FALSE,
Gorilla Terminal,https://gorillaterminal.com,Finance,"Gorilla Terminal is an AI-driven investment research tool designed to provide a more efficient and enjoyable solution to long hours of tedious research tasks. It features rich macroeconomic data, powerful intuitive dashboard design, industry analysis, supply chain analysis, regression analysis, value at risk analysis, sector overview, terminal interface, latest news, financial statements, and an intuitive design.",Paid,,FALSE,TRUE,
Norby AI,https://norby.io,Chat,"Norby AI is a chatbot powered by ChatGPT that provides automated customer support 24/7. With Norby AI, startups, personal brands, and small companies can quickly and easily set up a chatbot on their website with no code or setup required. Users simply create an account, copy-paste a snippet of code onto their website, and copy-paste their FAQs or documents onto the dashboard. The chatbot is then ready to use.",Paid,,FALSE,TRUE,
Dream,https://dream.ai,Generative Art,"WOMBO Dream is an AI-powered tool that enables users to create high quality artwork in seconds. Users are able to enter a prompt, pick from a variety of art styles, and receive an AI-powered painting. They can also join the WOMBO Dream community to create and explore artwork with millions of other creators.",Freemium,,FALSE,FALSE,
StarryAI,https://starryai.com,Generative Art,"Starry AI is an AI art generator app that allows users to create incredible works of art with the help of Artificial Intelligence. It allows users to generate up to 5 artworks for free daily and without watermarks, and have full ownership of their creations. It features customizable options such as different models, styles, aspect ratios, and initial images, and uses the latest AI methods to assist in art creation. It is available for free on iOS and Android.",Freemium,,FALSE,TRUE,
Stablecog,https://stablecog.com,Generative Art,"Stablecog tool allows users to generate different types of diffusion, such as Luna, Stable, Waifu, 22h, Openjourney, Redshift, Arcane, and Ghibli Diffusion. Users can also access settings, terms of service, and privacy policies.",Freemium,,FALSE,FALSE,
CanceledGPT,https://canceledgpt.com,Social Media,"CanceledGPT tool is an AI that searches through a Twitter user's feed for offensive tweets. It allows users to enter a Twitter handle and select a date range. If no toxic tweets are found, the AI will congratulate the user. It also allows users to expose and revise tweets.",Free,,FALSE,FALSE,
Warp AI,https://www.warp.dev/warp-ai,Productivity,"Warp AI is an AI-powered terminal assistant that helps users debug errors, look up forgotten commands, and ask Warp AI for help. It features local AI for Command Prediction and cloud-based AI for AI Command Search. Warp AI is free to use during the beta period and includes a limit of 100 requests per user per day.",Paid,,FALSE,TRUE,https://cdn.embedly.com/widgets/media.html?src=https%3A%2F%2Fwww.youtube.com%2Fembed%2F1YZLPJ5X18k%3Ffeature%3Doembed&display_name=YouTube&url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3D1YZLPJ5X18k&image=https%3A%2F%2Fi.ytimg.com%2Fvi%2F1YZLPJ5X18k%2Fhqdefault.jpg&key=96f1f04c5f4143bcb0f2e68c87d65feb&type=text%2Fhtml&schema=youtube
Upheal,https://www.upheal.io,No items found.,"Upheal is an AI-powered platform designed to help mental health professionals by providing automated notes, video calls, and analytics. It records sessions, generates transcripts, and uses AI models to create progress notes and insights. It also provides secure video conferencing, guided consent collection, and voice-to-text transcription to make the process easier for clinicians. It follows HIPAA and GDPR guidelines for data privacy and is free for therapists taking part in the Early Access program.",Price Unknown / Product Not Launched Yet,,FALSE,FALSE,
Pine Script Wizard,https://www.pinescriptwizard.com,Finance,"Pine Script Wizard AIAI Powered ChatGPT Pine Script Strategy Code Generator is a tool that can generate custom Pinescript code tailored to your specific needs. You simply enter a description of the strategy, rules, indicators, parameters, etc., and click to generate optimized, accurate Pine script code for the Tradingview platform. This code can then be copied and pasted into the Tradingview Pine Editor.",Free,,FALSE,FALSE,
Kaya,https://kaya.chat,Chat,"Kaya is an AI platform that allows users to create their own AI assistants. The AI can be used for personalized learning, content creation, and customer service. It can be published at a custom domain, where anyone can talk to the AI.",Price Unknown / Product Not Launched Yet,,FALSE,FALSE,
Wishes AI,https://wishesai.com,For Fun,"wishesAI.com is a tool that allows users to generate unique, AI-generated wishes for friends and family. It requires users to enter the person's name and the occasion, and then select an image and text to go along with the wish.",Paid,,FALSE,TRUE,
HeadlinesAI,https://headlinesai.pro/dashboard,Copywriting,"HeadlinesAI is an online tool designed to help writers generate captivating headlines. it uses a combination of artificial intelligence and natural language processing to create headlines that are designed to grab a reader's attention and compel them to click. HeadlinesAI is free to use, and it does not require users to create a login or account. All users have to do is enter a description and the tool quickly generates several headline options. Users can then choose the best headline to use for their content and optimize it further if needed.",Paid,,FALSE,TRUE,
Botsheets,https://www.botsheets.com,Chat,"Botsheets is a tool that automates data collection and responses to customer conversations in order to boost productivity and grow businesses. It connects messaging channels to a Google Sheet and uses AI to automatically turn unstructured conversations into structured data, which can then be used to create automated responses with text, images, and buttons. It also provides customer support and is easily adaptable to different niches.",Paid,,FALSE,TRUE,https://cdn.embedly.com/widgets/media.html?src=https%3A%2F%2Fwww.youtube.com%2Fembed%2FgNDMuWqVN4A%3Ffeature%3Doembed&display_name=YouTube&url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DgNDMuWqVN4A&image=https%3A%2F%2Fi.ytimg.com%2Fvi%2FgNDMuWqVN4A%2Fhqdefault.jpg&key=96f1f04c5f4143bcb0f2e68c87d65feb&type=text%2Fhtml&schema=youtube
Subtitle Generator,https://www.animaker.com/subtitle-generator,Productivity,"Animaker's Subtitle Generator is a free online tool that automatically generates subtitles and allows users to customize and format them for their video content. It includes features such as AI-powered Auto Subtitle Generation, full-featured Text editor, 20+ cool animations, auto-translation to 100+ languages and manual subtitling for experts. It also helps improve video's retention metrics, making videos more accessible and breaking language barriers.",Paid,,FALSE,TRUE,
Unscreen,https://www.unscreen.com,Video Editing,"Unscreen is an online tool that can automatically remove the background from videos and GIFs, without any manual clicking or selection of pixels. It offers a Pro Plugin for Adobe Premiere Pro & After Effects, and provides full HD resolution, no watermark, audio support, and full length clips. It is protected by hCaptcha and its Privacy Policy and Terms of Service apply.",Freemium,,FALSE,FALSE,
ChapterMe,https://chapterme.co,Productivity,ChapterMe is an AI-powered tool that helps users to easily and quickly add chapters to their videos. It supports YouTube videos and more video integrations will be coming soon. It can generate chapters 90% faster than manual methods and allows users to customize the player to match their brand. It also offers chapter and engagement analytics to help users learn what works and what doesn't and provides video A/B testing to help users find the best video for their website.,Paid,,FALSE,TRUE,
Catbird,https://www.catbird.ai,Generative Art,"Catbird is a multi-model image generator that allows users to generate images from dozens of models with just one prompt. It produces outputs from 15+ models such as Openjourney, Dreamlike Diffusion, and Stable Diffusion.",Free,,FALSE,FALSE,
FormX.ai,https://www.formx.ai,AI Detection,"FormX is an AI-based data extraction tool that helps automate the process of extracting data from physical documents such as receipts, ID cards, business certificates, address proof, and invoices into structured digital data. It includes preconfigured data extraction models, can be integrated into existing systems via API, and has a user-friendly web portal. Additionally, FormX features mobile scanning capabilities and can be used to extract data from forms with a similar format.",Paid,,FALSE,TRUE,https://cdn.embedly.com/widgets/media.html?src=https%3A%2F%2Fwww.youtube.com%2Fembed%2F9vmAz4wE-Eg%3Ffeature%3Doembed&display_name=YouTube&url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3D9vmAz4wE-Eg&image=https%3A%2F%2Fi.ytimg.com%2Fvi%2F9vmAz4wE-Eg%2Fhqdefault.jpg&key=96f1f04c5f4143bcb0f2e68c87d65feb&type=text%2Fhtml&schema=youtube
ListingCopy.ai,https://listingcopy.ai,Copywriting,"listingcopy.ai is an AI listing description generator that helps real estate professionals create effective ad copy for their listings. The platform utilizes artificial intelligence technology to analyze the unique features of each property, and generate ad copy that highlights the best aspects of the property and grabs the attention of potential buyers. The platform is user-friendly and easy to use, allowing users to enter their listing details, sift through the results, and edit and use their favorite copy. The service saves time and effort and helps users stand out in a crowded market.",Paid,,FALSE,TRUE,
Sharly AI,https://www.sharly.ai,Productivity,"Sharly is a generative AI that helps professionals save time understanding long text documents. It is powered by the latest language models and can help speed up productivity by allowing users to ask questions about documents and share their work with peers. It is designed for ease-of-use and can simplify market research, financial reports, and more.",Freemium,,FALSE,FALSE,
InteraxAI,https://interaxai.com,Productivity,"InteraxAI offers a range of no-code AI widgets that can be easily integrated into websites, blogs, or social media platforms to increase user engagement and interactivity. These widgets include a chatbot assistant, an image generator, and more. The widgets can be customized for different use cases and are monetizable with direct payments enabled. InteraxAI also offers customer support and an affiliate program.",Paid,,FALSE,TRUE,
Snowpixel,https://snowpixel.app,Generative Art,"Snowpixel is an AI media manipulation program that helps users turn their ideas and prompts into artwork. With Snowpixel, users can generate 20+ AI generated images for each prompt, upload existing images for even more on-brand illustrations, and animate them. Additionally, users can generate similar images, create pixel art, create AI based movies from images, 3D animate images, and control generations using modifiers. Snowpixel offers a pay-as-you-go pricing model with no monthly subscriptions or hidden fees.",Paid,,FALSE,FALSE,
Polyhive,https://www.polyhive.ai,Gaming,"Polyhive is a streamlined asset management platform for game studios that allows artists and developers to create, manage, review, and collaborate on game assets. It includes features such as automatic thumbnail generation, a browser model viewer, deep game engine integration, text-to-image AI tools, version management, and asset virtualization. It also enables runtime delivery of new content to experiences without deploying new game builds.",Paid,,FALSE,TRUE,
Ask Your PDF,https://askyourpdf.com,Chat,"AskYourPdf is an AI-powered chat system that enables users to interact with PDF documents in a more efficient and enjoyable way. It uses cutting-edge AI technology to help users quickly navigate, understand, and extract valuable insights from their PDFs. It also makes learning from PDFs more playful and engaging.",Free,,FALSE,FALSE,
ContractReader.io,https://www.contractreader.io,Finance,"ContractReader.io is a tool that allows users to easily read, understand, and interact with Ethereum smart contracts on the Mainnet. It features syntax highlighting, dark mode, larger files, mobile support, and the ability to write to the contract. It also has an audit tool and testnet support coming soon.",Price Unknown / Product Not Launched Yet,,FALSE,FALSE,
Alta AI,https://www.alta.so/ai,Productivity,"Alta's AI template maker is a free tool that helps users design mobile apps quickly. It provides auto-generated reports, customer analysis, AI text and image suggestions, and personalized app templates. With Alta's AI template generator, users can draft, schedule and send emails, add data and videos, and publish on iOS and Android. Upgrade to access premium features and get dedicated support.",Paid,,FALSE,TRUE,
DesignerBot,https://www.beautiful.ai/ai-presentations,Productivity,"Beautiful.ai is an AI presentation maker that enables users to create AI presentations automatically. It features DesignerBot, a powerful AI tool which designs slides quickly, helps brainstorm ideas, and generates text and images in a snap. It also offers Smart Slide templates for users to make edits quickly, and the ability to summarize, expand text, and change the tone of text. Additionally, it can generate images from text, and generate stunning slides with AI.",Paid,,FALSE,TRUE,
Vidds.co,https://vidds.co/tools/video-automations,"Generative Video, Text-To-Video","Vidds is a video automation tool that helps users generate videos quickly and easily. It features an AI Video Generator that creates videos from keywords and phrases, and a Text to Video generator that turns text into videos. It also includes a content planner to automate the entire process from idea to video, and an AI-augmented no-frills editor to customize videos. Vidds also offers a range of tools to add audio, images, text, transitions, watermarks, and more to videos.",Paid,,FALSE,TRUE,
Commenter.ai,https://commenter.ai,Social Media,"Commenter.AI tool enables users to quickly generate meaningful comments on LinkedIn that can help them boost their reach, grow their authority, and attract new clients. It also allows them to save time, improve their brand, and increase their visibility on the platform. Additionally, it provides a Privacy Policy and Terms & Conditions.",Price Unknown / Product Not Launched Yet,,FALSE,FALSE,
EchoFox,https://echofox.pro,Speech-To-Text,"EchoFox is a 24/7 transcription assistant that uses state-of-the-art AI technology to accurately transcribe audio fast. It can handle up to 98 languages, is secure and private, and can integrate with a variety of apps and platforms. It is easy to use, and delivers transcription quickly. It can handle multiple speakers, and audio notes up to 120 minutes long.",Price Unknown / Product Not Launched Yet,,FALSE,FALSE,
Crabo,https://craboai.com,Chat,"Crabo is an AI chatbot service, available on Telegram, that uses GPT-3 (Davinci/Curie) and other NLP models to respond to messages in both text and voice. It offers features such as multiple languages, a familiar chat-based interface, and quick response time. It is available 24/7 and can provide quick support for bugs, feedback, and suggestions.",Price Unknown / Product Not Launched Yet,,FALSE,FALSE,
NVIDIA Canvas,https://www.nvidia.com/en-us/studio/canvas,Generative Art,"NVIDIA Canvas is a tool that uses AI to turn simple brushstrokes into realistic landscape images. It allows users to paint with a variety of real-world materials, such as grass, snow, and clouds. It also supports 360° panoramas, and users can export their work into Adobe Photoshop or 3D applications such as NVIDIA Omniverse™ USD Composer. NVIDIA Canvas is available for Windows and requires a NVIDIA GeForce RTX, NVIDIA RTX, or TITAN RTX GPU with 4 GB of RAM for Standard, and 6 GB for Panorama.",Price Unknown / Product Not Launched Yet,,FALSE,FALSE,https://cdn.embedly.com/widgets/media.html?src=https%3A%2F%2Fwww.youtube.com%2Fembed%2FwKztRskmsig%3Ffeature%3Doembed&display_name=YouTube&url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DwKztRskmsig&image=https%3A%2F%2Fi.ytimg.com%2Fvi%2FwKztRskmsig%2Fhqdefault.jpg&key=96f1f04c5f4143bcb0f2e68c87d65feb&type=text%2Fhtml&schema=youtube
GramBotPlus,https://www.digicuratoragency.com/grambotplus,Social Media,"GramBot+ is an advanced SaaS tool that automates Gary Vee's 1.80 and 502 Instagram growth strategy, featuring gpt-3.5-turbo technology and the ChatGPT model family. It helps users to grow their community and engage with their niche and followers, save time, and focus on creating great content for their Instagram account. It also allows users to extract top or recent posts, engage with their target audience daily, extract Instagram users' account details, grow their Instagram audience on autopilot, save costs, and export extracted data into CSV or Google Sheet.",Paid,,FALSE,TRUE,https://cdn.embedly.com/widgets/media.html?src=https%3A%2F%2Fwww.youtube.com%2Fembed%2FFObNVDqf6iA%3Ffeature%3Doembed&display_name=YouTube&url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DFObNVDqf6iA&image=https%3A%2F%2Fi.ytimg.com%2Fvi%2FFObNVDqf6iA%2Fhqdefault.jpg&key=96f1f04c5f4143bcb0f2e68c87d65feb&type=text%2Fhtml&schema=youtube
Wordmax,https://wordmax.ai,Productivity,"Wordmax AI is an AI writer for creating blog articles that provides users with tools and templates to create content for blogs, articles, websites, social media, and more. It has an AI writer to assist with writing blog articles, product descriptions and more, tools and templates to create content briefs, write and optimize content in one place, and the ability to write in any language. Additionally, users can copy and publish anywhere, generate content in under 30 seconds, and repurpose content easily.",Paid,,FALSE,TRUE,
Zevi,https://www.zevi.ai,Marketing,"Zevi is an AI-driven search and discovery solution designed to guide prospects from discovery to conversions. It is available for both Enterprises and Shopify and helps to boost engagement and sales with its intent-focused, easy-to-integrate website search engine. It features Neural Search, Analytics, Merchandising, and robust architecture. It also offers real-time data and analytics, seamless and optimized merchandising, and quick and effortless setup.",Paid,,FALSE,TRUE,
ChatDOC,https://chatdoc.com,Productivity,"ChatDOC is a ChatGPT-based file-reading assistant that enables users to quickly extract, locate, and summarize information from PDFs. It can also understand tables and texts inside the documents, optimize data-analyzing performance, and provide responses backed by direct citations extracted from the files. It is free to use and allows users to upload up to 10 documents of up to 150 pages.",Free,,FALSE,FALSE,
ePromptly,https://epromptly.com,Prompt Guides,"ePromptly is a platform that provides users with an intuitive interface to quickly access and use prompts to generate text and images with just one click. Sellers can also design and publish their own prompts and receive payments for their work. The platform allows users to find, buy credits, generate and download content, and sellers to design, build, publish and share prompts. Additionally, payments are received whenever a user utilizes the prompts.",Paid,,FALSE,TRUE,
Plazmapunk,https://www.plazmapunk.com,Music,"Plazmapunk is a tool that allows you to create music videos from your mp3 files upto 60 seconds. allows users to select video style for your videos. you can add custom prompts to adapt, expand or completely change the video style. tool also provides options for adding content description just like how you make ai images are supported. currently tools is free.",Free,,FALSE,FALSE,https://cdn.embedly.com/widgets/media.html?src=https%3A%2F%2Fwww.youtube.com%2Fembed%2FxtpvpN4jbN0%3Ffeature%3Doembed&display_name=YouTube&url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DxtpvpN4jbN0&image=https%3A%2F%2Fi.ytimg.com%2Fvi%2FxtpvpN4jbN0%2Fhqdefault.jpg&key=96f1f04c5f4143bcb0f2e68c87d65feb&type=text%2Fhtml&schema=youtube
Text With Chat GPT,https://www.textwithchatgpt.com,Chat,"TextGPT is a chatbot that allows users to communicate with a text-based AI from their messages app without downloading any apps or remembering passwords. It is a simple and flexible pricing system with no subscription required and the first 50 messages are free. It also includes features such as setting custom context, lifetime chat history, no login required, and no API token required.",Paid,,FALSE,TRUE,
Scrivvy,https://scrivvy.ai,Productivity,"Scrivvy tool allows users to save time by automatically summarizing YouTube videos. It provides concise summaries of videos of any length, and allows users to search their video history for summaries easily. It breaks down long videos into 5-minute blocks, and offers free credits on signup for users to try the service risk-free.",Paid,,FALSE,TRUE,
